ITEM,ITEM_CODE,STOCK_ID,Description,Category,units,dummy,MB_FLAG,Currency,Price,
ITEM,Letter-Opener-Treble_Clef,Letter-Opener-Treble_Clef,Treble_Clef Letter Opener,Novelty,ea,,B,CAD,21.6666666667,
BUY,Letter-Opener-Treble_Clef,Letter-Opener-Treble_Clef,LO-028 Treble_Clef Letter Opener,Robert Hall Originals,ea,1,B,CAD,13,
ITEM,Letter-Opener-Celtic-Cross,Letter-Opener-Celtic-Cross,Celtic-Cross Letter Opener,Novelty,ea,,B,CAD,21.6666666667,
BUY,Letter-Opener-Celtic-Cross,Letter-Opener-Celtic-Cross,LO-019 Celtic-Cross Letter Opener,Robert Hall Originals,ea,1,B,CAD,13,
ITEM,Letter-Opener-Celtic,Letter-Opener-Celtic,Celtic Letter Opener,Novelty,ea,,B,CAD,21.6666666667,
BUY,Letter-Opener-Celtic,Letter-Opener-Celtic,LO-017 Celtic Letter Opener,Robert Hall Originals,ea,1,B,CAD,13,
ITEM,Letter-Opener-Thistle,Letter-Opener-Thistle,Thistle Letter Opener,Novelty,ea,,B,CAD,21.6666666667,
BUY,Letter-Opener-Thistle,Letter-Opener-Thistle,LO-024 Thistle Letter Opener,Robert Hall Originals,ea,1,B,CAD,13,
ITEM,Letter-Opener-Piper,Letter-Opener-Piper,Piper Letter Opener,Novelty,ea,,B,CAD,21.6666666667,
BUY,Letter-Opener-Piper,Letter-Opener-Piper,LO-025 Piper Letter Opener,Robert Hall Originals,ea,1,B,CAD,13,
ITEM,Letter-Opener-Drummer,Letter-Opener-Drummer,Drummer Letter Opener,Novelty,ea,,B,CAD,21.6666666667,
BUY,Letter-Opener-Drummer,Letter-Opener-Drummer,LO-030 Drummer Letter Opener,Robert Hall Originals,ea,1,B,CAD,13,
ITEM,Bus-Card-hold-piper,Bus-Card-hold-piper,Business Card Holder – Piper,Novelty,ea,,B,CAD,27.62,
BUY,Bus-Card-hold-piper,Bus-Card-hold-piper,PCH-96 Business Card Holder – Piper,Robert Hall Originals,ea,1,B,CAD,14,
ITEM,Bus-Card-hold-dancer,Bus-Card-hold-dancer,Business Card Holder – dancer,Novelty,ea,,B,CAD,27.62,28.95
BUY,Bus-Card-hold-dancer,Bus-Card-hold-dancer,PCH-85 Business Card Holder – dancer,Robert Hall Originals,ea,1,B,CAD,14,
ITEM,Bus-Card-hold-Thistle,Bus-Card-hold-Thistle,Business Card Holder – Thistle,Novelty,ea,,B,CAD,27.62,
BUY,Bus-Card-hold-Thistle,Bus-Card-hold-Thistle,PCH-86 Business Card Holder – Thistle,Robert Hall Originals,ea,1,B,CAD,14,
ITEM,Bus-Card-hold-Drummer,Bus-Card-hold-Drummer,Business Card Holder – Drummer,Novelty,ea,,B,CAD,27.62,
BUY,Bus-Card-hold-Drummer,Bus-Card-hold-Drummer,PCH-97 Business Card Holder – Drummer,Robert Hall Originals,ea,1,B,CAD,14,
ITEM,PEN-ML-1,PEN-ML-1,Pendant – Maple Leaf,Pendant,ea,,B,CAD,13.3333333333,12.95
BUY,PEN-ML-1,PEN-ML-1,LP-43 Pendant – Maple Leaf ,Robert Hall Originals,ea,1,B,CAD,8,
ITEM,PEN-chain-piper,PEN-chain-piper,Pendant with chain – Piper,Pendant,ea,,B,CAD,10,
BUY,PEN-chain-piper,PEN-chain-piper,PCH-96 Pendant with chain – Piper,Robert Hall Originals,ea,1,B,CAD,6,
ITEM,PEN-chain-dancer,PEN-chain-dancer,Pendant with chain – dancer,Pendant,ea,,B,CAD,10,
BUY,PEN-chain-dancer,PEN-chain-dancer,NPP-77 Pendant with chain – dancer,Robert Hall Originals,ea,1,B,CAD,6,
ITEM,PEN-chain-dancer-Irish,PEN-chain-dancer-Irish,Pendant with chain – dancer-Irish,Pendant,ea,,B,CAD,10,
BUY,PEN-chain-dancer-Irish,PEN-chain-dancer-Irish,NPP-78 Pendant with chain – dancer-Irish,Robert Hall Originals,ea,1,B,CAD,6,
ITEM,PEN-Cross-Protection,PEN-Cross-Protection,Pendant with chain – Protection Cross,Pendant,ea,,B,CAD,17.14,18
BUY,PEN-Cross-Protection,PEN-Cross-Protection,LPP-1227 Pendant with chain – Protection Cross,Robert Hall Originals,ea,1,B,CAD,8.5,
ITEM,PEN-Cross-High,PEN-Cross-High,Pendant with chain – High Cross,Pendant,ea,,B,CAD,17.14,
BUY,PEN-Cross-High,PEN-Cross-High,LPP-1226 Pendant with chain – High Cross,Robert Hall Originals,ea,1,B,CAD,8.5,
ITEM,PEN-Knot-Protection,PEN-Knot-Protection,Pendant with chain – Protection Knot,Pendant,ea,,B,CAD,17.14,
BUY,PEN-Knot-Protection,PEN-Knot-Protection,LPP-1244 Pendant with chain – Protection Knot,Robert Hall Originals,ea,1,B,CAD,8.5,
ITEM,PEN-Knot-Rosemarkie,PEN-Knot-Rosemarkie,Pendant with chain – Rosemarkie Knot,Pendant,ea,,B,CAD,17.14,
BUY,PEN-Knot-Rosemarkie,PEN-Knot-Rosemarkie,LPP-1247 Pendant with chain – Rosemarkie Knot,Robert Hall Originals,ea,1,B,CAD,8.5,
ITEM,PEN-Knot-Shandwick,PEN-Knot-Shandwick,Pendant with chain – Shandwick Knot,Pendant,ea,,B,CAD,17.14,
BUY,PEN-Knot-Shandwick,PEN-Knot-Shandwick,LPP-1253 Pendant with chain – Shandwick Knot,Robert Hall Originals,ea,1,B,CAD,8.5,
ITEM,PEN-Knot-Magic,PEN-Knot-Magic,Pendant with chain – Magic Knot,Pendant,ea,,B,CAD,17.14,
BUY,PEN-Knot-Magic,PEN-Knot-Magic,NPP-20 Pendant with chain – Magic Knot,Robert Hall Originals,ea,1,B,CAD,7.5,
ITEM,PEN-Cross-Highland,PEN-Cross-Highland,Pendant – Cross-Highland,Novelty,ea,,B,CAD,17.14,
BUY,PEN-Cross-Highland,PEN-Cross-Highland,NPP-35 Pendant – Cross-Highland,Robert Hall Originals,ea,1,B,CAD,7.5,
ITEM,PEN-AberlemnoMandala,PEN-AberlemnoMandala,Pendant – Aberlemno Mandala,Novelty,ea,,B,CAD,17.14,
BUY,PEN-AberlemnoMandala,PEN-AberlemnoMandala,NPP-37 Pendant – Aberlemno Mandala,Robert Hall Originals,ea,1,B,CAD,7.5,
ITEM,PEN-Knot-Transformation,PEN-Knot-Transformation,Pendant with chain – Transformation Knot,Pendant,ea,,B,CAD,17.14,
BUY,PEN-Knot-Transformation,PEN-Knot-Transformation,NPP-39 Pendant with chain – Transformation Knot,Robert Hall Originals,ea,1,B,CAD,6,
ITEM,PEN-Knot-Ulbster,PEN-Knot-Ulbster,Pendant – Knot-Ulbster,Pendant,ea,,B,CAD,17.14,
BUY,PEN-Knot-Ulbster,PEN-Knot-Ulbster,NPB-1254 Pendant – Knot-Ulbster,Robert Hall Originals,ea,1,B,CAD,7,
ITEM,PEN-Brighid-Goddess,PEN-Brighid-Goddess,Pendant – Brighid-Goddess,Pendant,ea,,B,CAD,17.14,
BUY,PEN-Brighid-Goddess,PEN-Brighid-Goddess,NPB-1254 Pendant – Brighid-Goddess,Robert Hall Originals,ea,1,B,CAD,7.5,
ITEM,Kiltpin-stonearrow,Kiltpin-stonearrow,Kiltpin – Stone and Arrow,Kilt,ea,,B,CAD,18.3333333333,
BUY,Kiltpin-stonearrow,Kiltpin-stonearrow,NPB-1331 Kiltpin – Stone and Arrow,Robert Hall Originals,ea,1,B,CAD,11,
ITEM,Kiltpin-eternitycross,Kiltpin-eternitycross,Kiltpin – Eternity Cross,Kilt,ea,,B,CAD,15,
BUY,Kiltpin-eternitycross,Kiltpin-eternitycross,NPB-1325 Kiltpin – Eternity Cross,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Kiltpin-thistle,Kiltpin-thistle,Kiltpin – Thistle,Kilt,ea,,B,CAD,14.1666666667,
BUY,Kiltpin-thistle,Kiltpin-thistle,NPB-1327 Kiltpin – Thistle,Robert Hall Originals,ea,1,B,CAD,8.5,
ITEM,Barrette-round,Barrette-round,Barrette – Rounded Knot,Novelty,ea,,B,CAD,17.14,
BUY,Barrette-round,Barrette-round,BR-14 Barrette – Rounded Knot,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Barrette-Rectangular,Barrette-Rectangular,Barrette – Rectangular Knot,Novelty,ea,,B,CAD,17.14,
BUY,Barrette-Rectangular,Barrette-Rectangular,BR-15 Barrette – Rectangular Knot,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,KEY-AberlemnoMandala,KEY-AberlemnoMandala,Keychain – Aberlemno Mandala,Novelty,ea,,B,CAD,11.43,
BUY,KEY-AberlemnoMandala,KEY-AberlemnoMandala,NPP-37 Keychain – Aberlemno Mandala,Robert Hall Originals,ea,1,B,CAD,5.5,
ITEM,KEY-piper,KEY-piper,Keychain – Piper,Novelty,ea,,B,CAD,11.43,
BUY,KEY-piper,KEY-piper,KC-514 Keychain – Piper,Robert Hall Originals,ea,1,B,CAD,7,
ITEM,KEY-dancer,KEY-dancer,Keychain – dancer,Novelty,ea,,B,CAD,11.43,
BUY,KEY-dancer,KEY-dancer,KC-435 Keychain – dancer,Robert Hall Originals,ea,1,B,CAD,7,
ITEM,KEY-Shamrock,KEY-Shamrock,Keychain – Shamrock,Novelty,ea,,B,CAD,11.43,
BUY,KEY-Shamrock,KEY-Shamrock,KC-516 Keychain – Shamrock,Robert Hall Originals,ea,1,B,CAD,7,
ITEM,KEY-Drummer,KEY-Drummer,Keychain – Drummer,Novelty,ea,,B,CAD,11.43,
BUY,KEY-Drummer,KEY-Drummer,KC-515 Keychain – Drummer,Robert Hall Originals,ea,1,B,CAD,7,
ITEM,KEY-Dancer-Irish,KEY-Dancer-Irish,Keychain – Dancer-Irish,Novelty,ea,,B,CAD,11.43,
BUY,KEY-Dancer-Irish,KEY-Dancer-Irish,KC-436 Keychain – Dancer-Irish,Robert Hall Originals,ea,1,B,CAD,7,
ITEM,KEY-Cross-Highland,KEY-Cross-Highland,Keychain – Cross-Highland,Novelty,ea,,B,CAD,11.43,
BUY,KEY-Cross-Highland,KEY-Cross-Highland,KC-427 Keychain – Cross-Highland,Robert Hall Originals,ea,1,B,CAD,5.5,
ITEM,KEY-Knot-Shandwick,KEY-Knot-Shandwick,Keychain with chain – Shandwick Knot,Pendant,ea,,B,CAD,11.43,
BUY,KEY-Knot-Shandwick,KEY-Knot-Shandwick,LPP-1253 Keychain with chain – Shandwick Knot,Robert Hall Originals,ea,1,B,CAD,7,
ITEM,KEY-Cross-Trinity,KEY-Cross-Trinity,Keychain – Cross-Trinity,Novelty,ea,,B,CAD,11.43,
BUY,KEY-Cross-Trinity,KEY-Cross-Trinity,KC-438 Keychain – Cross-Trinity,Robert Hall Originals,ea,1,B,CAD,5.5,
ITEM,Charm-SeaHorses,Charm-SeaHorses,Charm – SeaHorses,Charm,ea,,B,CAD,5,
BUY,Charm-SeaHorses,Charm-SeaHorses,CHP-127 Charm – SeaHorses,Robert Hall Originals,ea,1,B,CAD,2.83,
ITEM,Charm-Dancer,Charm-Dancer,Charm – Highland Dancer,Charm,ea,,B,CAD,2.86,2.95
BUY,Charm-Dancer,Charm-Dancer,CHP-127 Charm – Highland Dancer,Robert Hall Originals,ea,1,B,CAD,1.62,
ITEM,Charm-Heart,Charm-Heart,Charm – Heart,Charm,ea,,B,CAD,2.86,
BUY,Charm-Heart,Charm-Heart,MPC-06 Charm – Heart,Robert Hall Originals,ea,1,B,CAD,1.74,
ITEM,Charm-Piano,Charm-Piano,Charm – Piano,Charm,ea,,B,CAD,2.86,
BUY,Charm-Piano,Charm-Piano,MPC-07 Charm – Piano,Robert Hall Originals,ea,1,B,CAD,1.74,
ITEM,Charm-Star,Charm-Star,Charm – Star,Charm,ea,,B,CAD,2.86,
BUY,Charm-Star,Charm-Star,MPC-09 Charm – Star,Robert Hall Originals,ea,1,B,CAD,1.74,
ITEM,Charm-Cherub,Charm-Cherub,Charm – Cherub,Charm,ea,,B,CAD,2.86,
BUY,Charm-Cherub,Charm-Cherub,MPC-12 Charm – Cherub,Robert Hall Originals,ea,1,B,CAD,1.74,
ITEM,Charm-Dolphin,Charm-Dolphin,Charm – Dolphin,Charm,ea,,B,CAD,2.86,
BUY,Charm-Dolphin,Charm-Dolphin,MPC-18 Charm – Dolphin,Robert Hall Originals,ea,1,B,CAD,1.74,
ITEM,Charm-Flower,Charm-Flower,Charm – Flower,Charm,ea,,B,CAD,2.86,
BUY,Charm-Flower,Charm-Flower,MPC-19 Charm – Flower,Robert Hall Originals,ea,1,B,CAD,1.74,
ITEM,Charm-TrebleClef,Charm-TrebleClef,Charm – TrebleClef,Charm,ea,,B,CAD,2.86,
BUY,Charm-TrebleClef,Charm-TrebleClef,CHP-144 Charm – TrebleClef,Robert Hall Originals,ea,1,B,CAD,1.62,
ITEM,Coaster-ML,Coaster-ML,Coaster – Maple Leaf,Novelty,ea,,B,CAD,16,
BUY,Coaster-ML,Coaster-ML,PC-31 Coaster – Maple Leaf,Robert Hall Originals,ea,1,B,CAD,7.5,
ITEM,Coaster-ML-set,Coaster-ML-set,Coaster – Maple Leaf Set of 4 with stand,Novelty,ea,,B,CAD,75,
BUY,Coaster-ML-set,Coaster-ML-set,PC-31s Coaster – Maple Leaf Set of 4 with stand,Robert Hall Originals,ea,1,B,CAD,37,
ITEM,Brooch-ML-1,Brooch-ML-1,Brooch – Maple Leaf,Brooch (jewelry),ea,,B,CAD,15,
BUY,Brooch-ML-1,Brooch-ML-1,NPB-1298 Brooch – Maple Leaf ,Robert Hall Originals,ea,1,B,CAD,7.5,
ITEM,Brooch-ML-soft,Brooch-ML-soft,Brooch – Maple Leaf – Soft,Brooch (jewelry),ea,,B,CAD,15,
BUY,Brooch-ML-soft,Brooch-ML-soft,NPB-68s Brooch – Maple Leaf – Soft,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Brooch-ML-Overlap,Brooch-ML-Overlap,Brooch – Maple Leaf – Overlap,Brooch (jewelry),ea,,B,CAD,15,
BUY,Brooch-ML-Overlap,Brooch-ML-Overlap,NPB-1279 Brooch – Maple Leaf – Overlap,Robert Hall Originals,ea,1,B,CAD,7.5,
ITEM,Brooch-ML-Stylized,Brooch-ML-Stylized,Brooch – Maple Leaf – Stylized,Brooch (jewelry),ea,,B,CAD,15,
BUY,Brooch-ML-Stylized,Brooch-ML-Stylized,NPB-1296 Brooch – Maple Leaf – Stylized,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Brooch-ML-Two,Brooch-ML-Two,Brooch – Maple Leaf – Two,Brooch (jewelry),ea,,B,CAD,15,
BUY,Brooch-ML-Two,Brooch-ML-Two,NPB-1297 Brooch – Maple Leaf – Two,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Brooch-ML-Hard,Brooch-ML-Hard,Brooch – Maple Leaf – Hard,Brooch (jewelry),ea,,B,CAD,15,
BUY,Brooch-ML-Hard,Brooch-ML-Hard,NPB-68 Brooch – Maple Leaf – Hard,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Brooch-Piper-Comical,Brooch-Piper-Comical,Brooch – Piper - Comical,Brooch (jewelry),ea,,B,CAD,19,18.95
BUY,Brooch-Piper-Comical,Brooch-Piper-Comical,NPB-1337 Brooch – Piper – Comical,Robert Hall Originals,ea,1,B,CAD,7.5,
ITEM,Brooch-Piper-Female,Brooch-Piper-Female,Brooch – Piper - Female,Brooch (jewelry),ea,,B,CAD,19,18.95
BUY,Brooch-Piper-Female,Brooch-Piper-Female,NPB-1294 Brooch – Piper – Female,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Brooch-Piper-1,Brooch-Piper-1,Brooch – Piper,Brooch (jewelry),ea,,B,CAD,19,18.95
BUY,Brooch-Piper-1,Brooch-Piper-1,NPB-1283 Brooch – Piper,Robert Hall Originals,ea,1,B,CAD,7.5,
ITEM,Brooch-Piper-Standing,Brooch-Piper-Standing,Brooch – Piper - Standing,Brooch (jewelry),ea,,B,CAD,19,18.95
BUY,Brooch-Piper-Standing,Brooch-Piper-Standing,NPB-1282 Brooch – Piper – Standing,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Brooch-Dancer-1,Brooch-Dancer-1,Brooch – Dancer,Brooch (jewelry),ea,,B,CAD,19,
BUY,Brooch-Dancer-1,Brooch-Dancer-1,NPB-1281 Brooch – Dancer,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Brooch-Dancer-Pair,Brooch-Dancer-Pair,Brooch – Dancer-Pair,Brooch (jewelry),ea,,B,CAD,19,
BUY,Brooch-Dancer-Pair,Brooch-Dancer-Pair,NPB-1280 Brooch – Dancer-Pair,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Brooch-Dancer-Irish,Brooch-Dancer-Irish,Brooch – Dancer-Irish,Brooch (jewelry),ea,,B,CAD,19,
BUY,Brooch-Dancer-Irish,Brooch-Dancer-Irish,NPB-1293 Brooch – Dancer-Irish,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Brooch-Drummer,Brooch-Drummer,Brooch – Drummer,Brooch (jewelry),ea,,B,CAD,19,
BUY,Brooch-Drummer,Brooch-Drummer,NPB-1284 Brooch – Drummer,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Brooch-Drummer-Glen,Brooch-Drummer-Glen,Brooch – Drummer-Glen,Brooch (jewelry),ea,,B,CAD,19,
BUY,Brooch-Drummer-Glen,Brooch-Drummer-Glen,NPB-1295 Brooch – Drummer-Glen,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Brooch-TrebleClef,Brooch-TrebleClef,Brooch – Treble Clef,Brooch (jewelry),ea,,B,CAD,18.1,18.95
BUY,Brooch-TrebleClef,Brooch-TrebleClef,NPB-1154 Brooch – Treble Clef,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Brooch-Cross-Highland,Brooch-Cross-Highland,Brooch – Cross-Highland,Brooch (jewelry),ea,,B,CAD,18.1,
BUY,Brooch-Cross-Highland,Brooch-Cross-Highland,NPB-1250 Brooch – Cross-Highland,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Brooch-Knot-Ulbster,Brooch-Knot-Ulbster,Brooch – Knot-Ulbster,Brooch (jewelry),ea,,B,CAD,18.1,
BUY,Brooch-Knot-Ulbster,Brooch-Knot-Ulbster,NPB-1254 Brooch – Knot-Ulbster,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Brooch-Brighid-Goddess,Brooch-Brighid-Goddess,Brooch – Brighid-Goddess,Brooch (jewelry),ea,,B,CAD,18.1,
BUY,Brooch-Brighid-Goddess,Brooch-Brighid-Goddess,NPB-1273 Brooch – Brighid-Goddess,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,brooch-Cross-Trinity,brooch-Cross-Trinity,brooch – Cross-Trinity,Brooch (jewelry),ea,,B,CAD,18.1,18.95
